product number,color,SIZE,QTY,,,
D3917A,White,0,0,,,
D3917A,White,2,0,,,
D3917A,White,4,3,,,
D3917A,White,6,1,,,
D3917A,White,8,0,,,
D3917A,White,10,0,,,
D3917A,White,12,0,,,
D3917A,White,14,0,,,
D3917A,White,16,0,,,
,,,,,,
D3922A,Black,0,0,,,
D3922A,Black,2,1,,,
D3922A,Black,4,0,,,
D3922A,Black,6,2,,,
D3922A,Black,8,1,,,
D3922A,Black,10,0,,,
D3922A,Black,12,0,,,
D3922A,Black,14,0,,,
D3922A,Black,16,0,,,
,,,,,,
D3937A,Silver,0,4,,,
D3937A,Silver,2,9,,,
D3937A,Silver,4,4,,,
D3937A,Silver,6,2,,,
D3937A,Silver,8,1,,,
D3937A,Silver,10,0,,,
D3937A,Silver,12,0,,,
D3937A,Silver,14,0,,,
D3937A,Silver,16,0,,,
,,,,,,
D3950A,Black,0,5,,,
D3950A,Black,2,9,,,
D3950A,Black,4,4,,,
D3950A,Black,6,2,,,
D3950A,Black,8,0,,,
D3950A,Black,10,0,,,
D3950A,Black,12,0,,,
D3950A,Black,14,0,,,
D3950A,Black,16,0,,,
,,,,,,
D3954A,Black,0,4,,,
D3954A,Black,2,3,,,
D3954A,Black,4,0,,,
D3954A,Black,6,0,,,
D3954A,Black,8,0,,,
D3954A,Black,10,0,,,
D3954A,Black,12,0,,,
D3954A,Black,14,0,,,
D3954A,Black,16,0,,,
,,,,,,
D3966A,Blue,0,2,,,
D3966A,Blue,2,1,,,
D3966A,Blue,4,4,,,
D3966A,Blue,6,0,,,
D3966A,Blue,8,0,,,
D3966A,Blue,10,0,,,
D3966A,Blue,12,0,,,
D3966A,Blue,14,0,,,
D3966A,Blue,16,0,,,
,,,,,,
D3971A,Black,0,0,,,
D3971A,Black,2,1,,,
D3971A,Black,4,0,,,
D3971A,Black,6,0,,,
D3971A,Black,8,0,,,
D3971A,Black,10,0,,,
D3971A,Black,12,0,,,
D3971A,Black,14,0,,,
D3971A,Black,16,0,,,
,,,,,,
D4114A,Champagne,0,0,,,
D4114A,Champagne,2,4,,,
D4114A,Champagne,4,2,,,
D4114A,Champagne,6,2,,,
D4114A,Champagne,8,1,,,
D4114A,Champagne,10,0,,,
D4114A,Champagne,12,0,,,
D4114A,Champagne,14,0,,,
D4114A,Champagne,16,0,,,
,,,,,,
D4114A,Silver,0,0,,,
D4114A,Silver,2,3,,,
D4114A,Silver,4,3,,,
D4114A,Silver,6,3,,,
D4114A,Silver,8,1,,,
D4114A,Silver,10,3,,,
D4114A,Silver,12,0,,,
D4114A,Silver,14,0,,,
D4114A,Silver,16,0,,,
,,,,,,
D4114A,Taupe,0,1,,,
D4114A,Taupe,2,11,,,
D4114A,Taupe,4,9,,,
D4114A,Taupe,6,5,,,
D4114A,Taupe,8,6,,,
D4114A,Taupe,10,1,,,
D4114A,Taupe,12,2,,,
D4114A,Taupe,14,1,,,
D4114A,Taupe,16,0,,,
,,,,,,
D4118A,Red,0,0,,,
D4118A,Red,2,7,,,
D4118A,Red,4,4,,,
D4118A,Red,6,4,,,
D4118A,Red,8,11,,,
D4118A,Red,10,6,,,
D4118A,Red,12,6,,,
D4118A,Red,14,1,,,
D4118A,Red,16,0,,,
,,,,,,
D4121A,Blue,0,0,,,
D4121A,Blue,2,0,,,
D4121A,Blue,4,1,,,
D4121A,Blue,6,0,,,
D4121A,Blue,8,0,,,
D4121A,Blue,10,0,,,
D4121A,Blue,12,0,,,
D4121A,Blue,14,0,,,
D4121A,Blue,16,0,,,
,,,,,,
D4121A,Green,0,4,,,
D4121A,Green,2,6,,,
D4121A,Green,4,11,,,
D4121A,Green,6,8,,,
D4121A,Green,8,10,,,
D4121A,Green,10,0,,,
D4121A,Green,12,5,,,
D4121A,Green,14,0,,,
D4121A,Green,16,0,,,
,,,,,,
D4121A,Red,0,0,,,
D4121A,Red,2,1,,,
D4121A,Red,4,1,,,
D4121A,Red,6,2,,,
D4121A,Red,8,1,,,
D4121A,Red,10,0,,,
D4121A,Red,12,0,,,
D4121A,Red,14,0,,,
D4121A,Red,16,0,,,
,,,,,,
D4126A,Black,0,4,,,
D4126A,Black,2,2,,,
D4126A,Black,4,0,,,
D4126A,Black,6,3,,,
D4126A,Black,8,4,,,
D4126A,Black,10,0,,,
D4126A,Black,12,0,,,
D4126A,Black,14,0,,,
D4126A,Black,16,0,,,
,,,,,,
D4126A,Champagne,0,2,,,
D4126A,Champagne,2,24,,,
D4126A,Champagne,4,9,,,
D4126A,Champagne,6,9,,,
D4126A,Champagne,8,0,,,
D4126A,Champagne,10,0,,,
D4126A,Champagne,12,0,,,
D4126A,Champagne,14,0,,,
D4126A,Champagne,16,0,,,
,,,,,,
D4128A,Black,0,7,,,
D4128A,Black,2,1,,,
D4128A,Black,4,1,,,
D4128A,Black,6,3,,,
D4128A,Black,8,1,,,
D4128A,Black,10,1,,,
D4128A,Black,12,0,,,
D4128A,Black,14,0,,,
D4128A,Black,16,0,,,
,,,,,,
D4128A,Champagne,0,0,,,
D4128A,Champagne,2,0,,,
D4128A,Champagne,4,0,,,
D4128A,Champagne,6,0,,,
D4128A,Champagne,8,0,,,
D4128A,Champagne,10,0,,,
D4128A,Champagne,12,1,,,
D4128A,Champagne,14,0,,,
D4128A,Champagne,16,0,,,
,,,,,,
D4142A,Gunmetal,0,4,,,
D4142A,Gunmetal,2,6,,,
D4142A,Gunmetal,4,14,,,
D4142A,Gunmetal,6,11,,,
D4142A,Gunmetal,8,11,,,
D4142A,Gunmetal,10,13,,,
D4142A,Gunmetal,12,7,,,
D4142A,Gunmetal,14,3,,,
D4142A,Gunmetal,16,0,,,
,,,,,,
D4160A,Gold,0,0,,,
D4160A,Gold,2,0,,,
D4160A,Gold,4,0,,,
D4160A,Gold,6,0,,,
D4160A,Gold,8,0,,,
D4160A,Gold,10,0,,,
D4160A,Gold,12,1,,,
D4160A,Gold,14,0,,,
D4160A,Gold,16,0,,,
,,,,,,
D4173A,Gold,0,0,,,
D4173A,Gold,2,0,,,
D4173A,Gold,4,1,,,
D4173A,Gold,6,0,,,
D4173A,Gold,8,0,,,
D4173A,Gold,10,0,,,
D4173A,Gold,12,0,,,
D4173A,Gold,14,0,,,
D4173A,Gold,16,0,,,
,,,,,,
D4213A,Silver,0,0,,,
D4213A,Silver,2,0,,,
D4213A,Silver,4,8,,,
D4213A,Silver,6,0,,,
D4213A,Silver,8,2,,,
D4213A,Silver,10,0,,,
D4213A,Silver,12,0,,,
D4213A,Silver,14,0,,,
D4213A,Silver,16,0,,,
,,,,,,
D4195A,Gunmetal,0,0,,,
D4195A,Gunmetal,2,3,,,
D4195A,Gunmetal,4,4,,,
D4195A,Gunmetal,6,6,,,
D4195A,Gunmetal,8,2,,,
D4195A,Gunmetal,10,3,,,
D4195A,Gunmetal,12,0,,,
D4195A,Gunmetal,14,0,,,
,,16,0,,,
,,,,,,
D4228A,Green,0,0,,,
D4228A,Green,2,4,,,
D4228A,Green,4,0,,,
D4228A,Green,6,0,,,
D4228A,Green,8,0,,,
D4228A,Green,10,0,,,
D4228A,Green,12,0,,,
D4228A,Green,14,0,,,
D4228A,Green,16,0,,,
,,,,,,
D4237A,Pink,0,0,,,
D4237A,Pink,2,5,,,
D4237A,Pink,4,3,,,
D4237A,Pink,6,1,,,
D4237A,Pink,8,4,,,
D4237A,Pink,10,0,,,
D4237A,Pink,12,0,,,
D4237A,Pink,14,0,,,
D4237A,Pink,16,0,,,
,,,,,,
D4239A,Pink,0,0,,,
D4239A,Pink,2,0,,,
D4239A,Pink,4,4,,,
D4239A,Pink,6,10,,,
D4239A,Pink,8,6,,,
D4239A,Pink,10,0,,,
D4239A,Pink,12,0,,,
D4239A,Pink,14,0,,,
D4239A,Pink,16,0,,,
,,,,,,
D4246A,red,0,0,,,
D4246A,red,2,4,,,
D4246A,red,4,3,,,
D4246A,red,6,5,,,
D4246A,red,8,1,,,
D4246A,red,10,0,,,
D4246A,red,12,0,,,
D4246A,red,14,0,,,
D4246A,red,16,0,,,
,,,,,,
D4263A,Green,0,0,,,
D4263A,Green,2,0,,,
D4263A,Green,4,0,,,
D4263A,Green,6,0,,,
D4263A,Green,8,0,,,
D4263A,Green,10,7,,,
D4263A,Green,12,2,,,
D4263A,Green,14,0,,,
D4263A,Green,16,0,,,
,,,,,,
D4268A,Navy,0,0,,,
D4268A,Navy,2,2,,,
D4268A,Navy,4,2,,,
D4268A,Navy,6,0,,,
D4268A,Navy,8,0,,,
D4268A,Navy,10,0,,,
D4268A,Navy,12,0,,,
D4268A,Navy,14,0,,,
D4268A,Navy,16,0,,,
,,,,,,
D4279A,Black,0,0,,,
D4279A,Black,2,3,,,
D4279A,Black,4,2,,,
D4279A,Black,6,2,,,
D4279A,Black,8,2,,,
D4279A,Black,10,1,,,
D4279A,Black,12,1,,,
D4279A,Black,14,0,,,
D4279A,Black,16,0,,,
,,,,,,
D4292A,black,0,0,,,
D4292A,black,2,0,,,
D4292A,black,4,3,,,
D4292A,black,6,0,,,
D4292A,black,8,0,,,
D4292A,black,10,0,,,
D4292A,black,12,1,,,
D4292A,black,14,0,,,
D4292A,black,16,0,,,
,,,,,,
D4298A,black,0,0,,,
D4298A,black,2,2,,,
D4298A,black,4,0,,,
D4298A,black,6,0,,,
D4298A,black,8,0,,,
D4298A,black,10,0,,,
D4298A,black,12,0,,,
D4298A,black,14,0,,,
D4298A,black,16,0,,,
,,,,,,
D4319A,black,0,0,,,
D4319A,black,2,0,,,
D4319A,black,4,1,,,
D4319A,black,6,0,,,
D4319A,black,8,0,,,
D4319A,black,10,0,,,
D4319A,black,12,0,,,
D4319A,black,14,0,,,
D4319A,black,16,0,,,
,,,,,,
D4322A,black,0,0,,,
D4322A,black,2,1,,,
D4322A,black,4,0,,,
D4322A,black,6,0,,,
D4322A,black,8,0,,,
D4322A,black,10,0,,,
D4322A,black,12,0,,,
D4322A,black,14,0,,,
D4322A,black,16,0,,,
,,,,,,
D4341A,Purple,0,0,,,
D4341A,Purple,2,0,,,
D4341A,Purple,4,1,,,
D4341A,Purple,6,0,,,
D4341A,Purple,8,0,,,
D4341A,Purple,10,0,,,
D4341A,Purple,12,0,,,
D4341A,Purple,14,0,,,
D4341A,Purple,16,0,,,
,,,,,,
D4343A,Champagne,0,0,,,
D4343A,Champagne,2,2,,,
D4343A,Champagne,4,1,,,
D4343A,Champagne,6,1,,,
D4343A,Champagne,8,2,,,
D4343A,Champagne,10,1,,,
D4343A,Champagne,12,0,,,
D4343A,Champagne,14,0,,,
D4343A,Champagne,16,0,,,
,,,,,,
D4345A,green,0,0,,,
D4345A,green,2,2,,,
D4345A,green,4,1,,,
D4345A,green,6,1,,,
D4345A,green,8,0,,,
D4345A,green,10,0,,,
D4345A,green,12,0,,,
D4345A,green,14,0,,,
D4345A,green,16,0,,,
,,,,,,
D4356A,Black,0,0,,,
D4356A,Black,2,0,,,
D4356A,Black,4,1,,,
D4356A,Black,6,0,,,
D4356A,Black,8,0,,,
D4356A,Black,10,0,,,
