Item Name,Item Description,Department Name,Custom Field 3,Custom Field 1,Regular Price,MSRP,PIMG_ID,Custom Field 2,Size,Qty 1,On Order Qty,Attribute,Custom Field 4,Custom Field 5,END
D0651,D0651,Issue New York,Womens Apparel,1/7/2011,350,475,,Cocktail Dresses,0,10,0,red,,,
D0651,D0651,Issue New York,Womens Apparel,1/7/2011,350,475,,Cocktail Dresses,2,10,0,red,,,
D0651,D0651,Issue New York,Womens Apparel,1/7/2011,350,475,,Cocktail Dresses,4,10,0,red,,,
D0651,D0651,Issue New York,Womens Apparel,1/7/2011,350,475,,Cocktail Dresses,6,10,0,red,,,
D0651,D0651,Issue New York,Womens Apparel,1/7/2011,350,475,,Cocktail Dresses,8,10,0,red,,,
D0651,D0651,Issue New York,Womens Apparel,1/7/2011,350,475,,Cocktail Dresses,10,10,0,red,,,
D0651,D0651,Issue New York,Womens Apparel,1/7/2011,350,475,,Cocktail Dresses,12,10,0,red,,,
D0651,D0651,Issue New York,Womens Apparel,1/7/2011,350,475,,Cocktail Dresses,14,10,0,red,,,
D0651,D0651,Issue New York,Womens Apparel,1/7/2011,350,475,,Cocktail Dresses,16,10,0,red,,,
