Product Name,Product Number,Category Name,SubCategory Name,Designer,Product Date,Catalogue Price,Retail Price,Wholesale Price,Product Description,Primary Image Color,Colors,Styles,Events,New Arrival,Clearance,Pre Order,Unpublish,Materials,Trends
2105047,2105047,Womens Apparel,Cocktail Dresses ,Issue New York,1969-12-31,445,0,245,Cocktail Dress,WHITE,WHITE,,,yes,,,Y,,
ZD-0004,ZD-0004,Womens Apparel,Cocktail Dresses ,Issue New York,1969-12-31,295,0,145,Cocktail Dress,ANIMAL,ANIMAL,,,,,,,,
DF106,DF106,Womens Apparel,Cocktail Dresses ,Issue New York,2011-08-23,298,0,0,DF106,BLACK,Black,Pleated-Sleeveless-Long Sleeve-Metallic-Mini-Plunge-Shimmer,,,,,,,
DF131,DF131,Womens Apparel,Cocktail Dresses ,Issue New York,2011-08-23,320,0,0,DF131,BLUE,Black-Blue-Red,Pleated-Sleeveless-Long Sleeve-Metallic-Mini-Plunge-Shimmer,,,,,Y,,
Shimmer Cocktail Dress,DF142,Womens Apparel,Cocktail Dresses ,Issue New York,1969-12-31,265,0,125,Shimmer Cocktail Dress,BLUE,SILVER
-GOLD-RED-BLUE,LONG SLEEVE-METALLIC-MINI-PLEATED-PLUNGE-SHIMMER-SLEEVELESS,,,,,,,
One Shoulder Shimmer Dress,DF143,Womens Apparel,Cocktail Dresses ,Issue New York,1969-12-31,245,0,120,One Shoulder Shimmer Dress with Shoulder Pad,RED,GOLD
-BLUE-BLACK-SILVER-RED,1 SHOULDER-LONG SLEEVE-METALLIC-MINI-PLUNGE-SHIMMER,Christmas-Formal-Graduation-Homecoming-New Year-Party-Prom-Valentines-Wedding,,,,,,
Sequin and Sheer Cocktail Dress,JF2016,Womens Apparel,Cocktail Dresses ,Issue New York,2011-08-23,348,0,0,Sequin and Sheer Cocktail Dress,SILVER,GOLD-SILVER,Metallic-Sequined-Sleeveless-Shimmer-Mini-Plunge-Shimmer,Christmas-Homecoming-New Year-Party-Prom-Valentines-Wedding,,,,,,
2105021S,2105021S,Womens Apparel,Cocktail Dresses ,Issue New York,1969-12-31,445,0,219,Cocktail Dress,GUNMETAL,GUNMETAL,1 SHOULDER-FEATHERS-SEQUINED,,,,,Y,,
SA2271,SA2271,Womens Apparel,Cocktail Dresses ,Issue New York,2011-10-15,338,0,0,SA2271,BLACK,Black-Red,Pleated-Sleeveless-Strapless-Shimmer-Mini-Plunge-Shimmer,,,,,,,
Feathered Mini Cocktail Dress,SM800,Womens Apparel,Cocktail Dresses ,Issue New York,2011-08-23,318,0,0,Feathered Mini Cocktail Dress,BLACK,Black-White,Feathers-Mini-Strapless-Shimmer-Mini-Plunge-Shimmer,Christmas-New Year-Party,,,,,,
Feathered Mini Dress,D0742,Womens Apparel,Cocktail Dresses ,Issue New York,1969-12-31,375,0,195,Ostrich feather cocktail dress,BLACK,BLUSH-FUCHSIA-BLACK-RED-PURPLE,1 SHOULDER-MINI-PLUNGE-PRINT-SEQUINED-SHIMMER,,,,,,,
3051NN,3051NN,Womens Apparel,Cocktail Dresses ,Issue New York,2011-08-23,355,0,195,3051NN,BLACK,BROWN
-BLACK,1 SHOULDER-BEADED-CRYSTAL-FEATHERS-SEQUINED,,,,,Y,,
GLD11130,GLD11130,Womens Apparel,Cocktail Dresses ,Issue New York,1969-12-31,275,0,135,Cocktail Dress,BLUSH,IVORY-BLUSH,,,,,,Y,,
Rouched Mini Cocktail Dress,DF12916,Womens Apparel,Cocktail Dresses ,Issue New York,2011-11-11,345,0,0,Rouched Mini Cocktail Dress,BLACK,BLACK,1 Shoulder-Mini-Print-Sequined-Mini-Plunge-Shimmer,,,,,Y,,
JTX-0722,JTX-0722,Womens Apparel,Cocktail Dresses ,Issue New York,1969-12-31,335,0,165,Cocktail Dress,BLACK,BLACK-BLUE-GUNMETAL,,,,,,,,
DC100,DC100,Womens Apparel,Cocktail Dresses ,Issue New York,1969-12-31,235,0,120,Cocktail Dress,SILVER,GOLD-SILVER,SLEEVELESS,,,,,,,
5005,5005,Womens Apparel,Cocktail Dresses ,Issue New York,1969-12-31,295,0,145,Cocktail Dress,WINE,BLACK-GREEN -BRONZE-WINE,,,,,,Y,,
B0894,B0894,Womens Apparel,Cocktail Dresses ,Issue New York,1969-12-31,275,0,135,Cocktail Dress,BLACK,BLACK,1 SHOULDER,,,,,,,
3051,3051,Womens Apparel,Cocktail Dresses ,Issue New York,1969-12-31,355,0,175,Cocktail Dress,BLACK,BLACK,LONG SLEEVE,,,,,,,
