Product Name,Product Number,Category Name,SubCategory Name,Designer,Product Date,Catalogue Price,Retail Price,Wholesale Price,Product Description,Primary Image Color,Colors,Styles,Events,New Arrival,Clearance,Pre Order,Unpublish,Materials,Trends
T5448,T5448,Womens Apparel,Tops,Basix Black Label,1969-12-31,270,0,135,Tops,IVORY,IVORY-BLACK-GUNMETAL,SEQUINED-SLEEVELESS-V NECK,,no,no,,,,
T5971,T5971,Womens Apparel,Tops,Basix Black Label,1969-12-31,335,0,170,Sequined Top , Nude Shoulders, Matte jersey Torso,BLACK,BLACK,LONG SLEEVE-NUDE-SEQUINED,,yes,,,,,
Sequined Top,T4114,Womens Apparel,Tops,Basix Black Label,1969-12-31,275,0,140,Sequined And Beaded Top with Clamshell Motif,TAUPE,GOLD-BLACK-PLATINUM-WHITE-TAUPE,BEADED-SCALLOPED-SEQUINED-SPAGHETTI STR.,Christmas-New Year-Party,,,,,,
SH2535,SH2535,Womens Apparel,Tops,Basix Black Label,1969-12-31,335,0,165,Top ,BLACK,BLACK,BEADED-LACE-LONG SLEEVE,Christmas-Daytime-New Year-Party,,,,,,
T598,T598,Womens Apparel,Tops,Basix Black Label,1969-12-31,335,0,170,Black Top With Long Sleeves, Sequins and under shell cami,BLACK,BLACK,BEADED-LONG SLEEVE,,yes,,,,,
T3373,T3373,Womens Apparel,Tops,Basix Black Label,1969-12-31,275,0,140,Sequined Top,BLACK,-BLACK,SEQUINED-SPAGHETTI STR.,,yes,,,,,
T5784,T5784,Womens Apparel,Tops,Basix Black Label,1969-12-31,275,0,140,Sequined V Neck Top ,GOLD,GOLD-BLACK,SEQUINED-V NECK,,yes,,,,,
T5764,T5764,Womens Apparel,Tops,Basix Black Label,1969-12-31,275,0,140,Sequined top,BLACK,CHAMPAGNE-BLACK,NUDE-SEQUINED-V NECK,,yes,,,,,
Long Sleeve Sequined Top,T5448S,Womens Apparel,Tops,Basix Black Label,1969-12-31,335,0,165,Long Sleeve V Neck Top With Sequins,GUNMETAL,GUNMETAL-NAVY-BLACK,BEADED-BEADED-LONG-LONG SLEEVE-NUDE-SEQUINED-V NECK,,yes,no,,,,
