Product Name,Product Number,Category Name,SubCategory Name,Designer,Product Date,Catalogue Price,Retail Price,Wholesale Price,Product Description,Primary Image Color,Colors,Styles,Events,New Arrival,Clearance,Pre Order,Unpublish,Materials,Trends
SK5584,SK5584,Womens Apparel,Skirts,Basix Black Label,,270,0,0,Sequined skirt ,SILVER,SILVER,BEADED-METALLIC-MINI-SEQUINED,,,,,,,
SK5954,SK5954,Womens Apparel,Skirts,Basix Black Label,1969-12-31,285,0,145,Beaded skirt with lace hem,BLACK,BLACK,BEADED-LACE-MINI,,yes,,,,,
Sequined and Beaded Skirt,SK4114,Womens Apparel,Skirts,Basix Black Label,2011-11-13,270,0,135,Basix Sequined And Beaded Skirt with clamshell design,TAUPE,CHARCOAL-BLACK-TAUPE-WHITE-GREEN ,BEADED-MINI-SEQUINED,Party,,,,,,
Sequin Panel Skirt,SK5783,Womens Apparel,Skirts,Basix Black Label,1969-12-31,316,0,158,Sequin Panel Skirt,BRONZE,CHARCOAL-NAVY-BRONZE-SILVER-CHAMPAGNE,SEQUINED,,no,no,,,,
Laser Cut Daisy Skirt,SK5949,Womens Apparel,Skirts,Basix Black Label,,270,0,0,Laser Cut Daisy Skirt ,BLACK,BLACK,FLOWER,,,,,,,
SK6005,SK6005,Womens Apparel,Skirts,Basix Black Label,2012-09-30,300,0,150,SK6005,BLACK,BLACK-SILVER,,,no,no,,,,
