Product Name,Product Number,Category Name,SubCategory Name,Designer,Product Date,Catalogue Price,Retail Price,Wholesale Price,Product Description,Primary Image Color,Colors,Styles,Events,New Arrival,Clearance,Pre Order,Unpublish,Materials,Trends
D4350A,D4350A,Womens Apparel,Cocktail Dresses ,Basix Black Label,1969-12-31,195,0,0,Short sleeve cocktail dress with open collar details and empire bustier,BLACK,BLACK,EMPIRE WAIST-KEYHOLE-SHORT SLEEVE,,,,,Y,,
D4378A,D4378A,Womens Apparel,Cocktail Dresses ,Basix Black Label,1969-12-31,295,0,165,Cap Shoulder Empire Dress with pleated skirt ,BLACK,BLACK,PLEATED-SEQUINED-V NECK,,,,,Y,,
D5510A,D5510A,Womens Apparel,Cocktail Dresses ,Basix Black Label,1969-12-31,900,0,345,Sleeveless Cocktail Dress ,GOLD,GOLD,SEQUINED-SLEEVELESS,,,,,,,
D5903A,D5903A,Womens Apparel,Cocktail Dresses ,Basix Black Label,1969-12-31,595,0,295,Cocktail Dress,NUDE NAVY,NUDE NAVY,1 SHOULDER-CRYSTAL-FLOWER-NUDE-SEQUINED,,,,,,,
D5962A,D5962A,Womens Apparel,Cocktail Dresses ,Basix Black Label,,185,590,295,Crystal and Sequin Cocktail Dress,GOLD,GOLD,CRYSTAL-ONE PIECE-SEQUINED-SLEEVELESS-STRAPLESS,,,yes,,,,
D5980A,D5980A,Womens Apparel,Cocktail Dresses ,Basix Black Label,,595,0,295,Fringed Flapper Cocktail Dress,BLACK,BLACK,FRINGED-SLEEVELESS,,,,,,,
D5987A,D5987A,Womens Apparel,Cocktail Dresses ,Basix Black Label,,495,0,245,Fringed Cocktail Dress,WHITE,WHITE,BEADED-FRINGED-SEQUINED-SLEEVELESS-STRAPLESS,,,,,,,
D5989A,D5989A,Womens Apparel,Cocktail Dresses ,Basix Black Label,,495,0,245,Cocktail Dress,BLACK,BLACK,FRINGED-SEQUINED-V NECK,,,,,,,
D6050A,D6050A,Womens Apparel,Cocktail Dresses ,Basix Black Label,,550,0,275,Fringed Hombre Cocktail Dress,MULTI,MULTI,FRINGED-SEQUINED-SLEEVELESS,,,,,,,
D5957A,D5957A,Womens Apparel,Cocktail Dresses ,Basix Black Label,1969-12-31,590,0,295,Fringed Cocktail Dress with Gold Frame Accent,BLACKGOLD,BLACKGOLD,FRINGED-SLEEVELESS,,,,,,,
D5975A,D5975A,Womens Apparel,Cocktail Dresses ,Basix Black Label,,690,0,345,Cocktail Dress,NAVY,NAVY-BLACK-CHAMPAGNE,SEQUINED-SLEEVELESS,,,,,,,
D5978A,D5978A,Womens Apparel,Cocktail Dresses ,Basix Black Label,1969-12-31,690,0,345,Cocktail Dress,CHARCOAL,CHARCOAL-CHAMPAGNE-SILVER,SEQUINED-SLEEVELESS,,no,no,,,,
D6005A,D6005A,Womens Apparel,Cocktail Dresses ,Basix Black Label,1969-12-31,550,0,275,Cocktail Dress,BLACK,AUBURN-SILVER-BLACK,CRYSTAL-NUDE-SEQUINED,,no,no,,,,
D6022A,D6022A,Womens Apparel,Cocktail Dresses ,Basix Black Label,,445,0,225,Cocktail Dress,SILVER,SILVER,NUDE-SEQUINED,,,,,,,
D6006A,D6006A,Womens Apparel,Cocktail Dresses ,Basix Black Label,,895,895,450,Long sleeve metallic cocktail dress,AUBURN,BLUE-BLACK-AUBURN,LONG SLEEVE-METALLIC,,,,,,,
D6071A,D6071A,Womens Apparel,Cocktail Dresses ,Basix Black Label,,295,295,145,Cocktail Dress,BLACK,BLACK,SLEEVELESS-V NECK,,,,,,,
D6051A,D6051A,Womens Apparel,Cocktail Dresses ,Basix Black Label,1969-12-31,650,0,325,Cocktail Dress,BRONZE,GOLD-NAVY-BRONZE-CHARCOAL-SILVER-BLACK,METALLIC-SEQUINED-SLEEVELESS,,no,no,,,,
