Product Name,Product Number,Category Name,SubCategory Name,Designer,Product Date,Catalogue Price,Retail Price,Wholesale Price,Product Description,Primary Image Color,Colors,Styles,Events,New Arrival,Clearance,Pre Order,Unpublish,Materials,Trends
J2193,J2193,Womens Apparel,Jumpsuits / Rompers,Basix Black Label,1969-12-31,295,365,145,Jumpsuit,BLACK,BLACK,SEQUINED,Prom,,,,Y,,
J2247,J2247,Womens Apparel,Jumpsuits / Rompers,Basix Black Label,1969-12-31,295,365,145,Jumpsuit,BLACK,BLACK,SEQUINED,Prom,,,,Y,,
Crystal Waist Jumpsuit,JS5872,Womens Apparel,Jumpsuits / Rompers,Basix Black Label,1969-12-31,395,0,195,Jumpsuit,BLACK,BLACK,CRYSTAL-FLARE-HALTER-SEQUINED-V NECK,,,,,,,
J2166,J2166,Womens Apparel,Jumpsuits / Rompers,Basix Black Label,1969-12-31,295,365,145,Jumpsuit,BLACK,BLACK,SEQUINED,Prom,,,,Y,,
Sequined Romper,JS5876,Womens Apparel,Jumpsuits / Rompers,Basix Black Label,1969-12-31,495,0,245,Sequined and beaded romper with metallic motif on front and back,NUDE GUNMETAL,NUDE GUNMETAL,BEADED-HALTER-METALLIC-PLUNGE-SEQUINED-V NECK,,,,,,,
Beaded Romper,JS5836,Womens Apparel,Jumpsuits / Rompers,Basix Black Label,1969-12-31,495,0,245,Beaded Romper,BLACK,BLACK,BEADED-CRYSTAL-PLUNGE-SEQUINED-V NECK,,,,,,,
J2141,J2141,Womens Apparel,Jumpsuits / Rompers,Basix Black Label,1969-12-31,295,365,145,Jumpsuit,BLACK,BLACK,SEQUINED,Prom,,,,Y,,
J2276,J2276,Womens Apparel,Jumpsuits / Rompers,Basix Black Label,1969-12-31,295,365,145,Jumpsuit,BLACK,BLACK,SEQUINED,Prom,,,,Y,,
JS5853,JS5853,Womens Apparel,Jumpsuits / Rompers,Basix Black Label,1969-12-31,495,0,0,Beaded, Sequined and Nude Halter Top Romper ,NUDE GUNMETAL,NUDE GUNMETAL,HALTER-METALLIC-NUDE-SEQUINED,,,,,,,
